Country,Ano,CO2_kg_per_ppp_US
India,2000,0.4772536675183594
India,2001,0.4681082688066205
India,2002,0.4597704043832086
India,2003,0.4497623477259692
India,2004,0.4395905995570893
India,2005,0.42829320094794554
India,2006,0.4167941546560123
India,2007,0.40650335410145905
India,2008,0.3982700310099046
India,2009,0.39145328988902794
India,2010,0.38431582352871696
India,2011,0.3775742609445231
India,2012,0.37121905566686764
India,2013,0.36511619536979273
India,2014,0.3607985337608317
India,2015,0.3557441099419521
India,2016,0.3496589267744831
India,2017,0.34383045962458914
India,2018,0.3377783245550814
Italy,1990,0.3842931158762402
Italy,1991,0.3744203576462181
Italy,1992,0.3667934508583495
Italy,1993,0.3604975778879425
Italy,1994,0.35282086562542603
Italy,1995,0.3482624892996141
Italy,1996,0.34300737961459293
Italy,1997,0.3377790401577797
Italy,1998,0.3328324172720625
Italy,1999,0.3286689858314194
Italy,2000,0.32363803126970003
Italy,2001,0.3184826292591295
Italy,2002,0.3139226066913733
Italy,2003,0.31061900828381733
Italy,2004,0.30787142161418246
Italy,2005,0.3050166462865816
Italy,2006,0.3005615782153525
Italy,2007,0.2952479668260601
Italy,2008,0.2891820730655107
Italy,2009,0.2827774669664665
Italy,2010,0.27709794824107714
Italy,2011,0.27116941084028606
Italy,2012,0.265404744151423
Italy,2013,0.2594056695014186
Italy,2014,0.25350414611120425
Italy,2015,0.24820707213571774
Italy,2016,0.2423772842163642
Italy,2017,0.2365732013902218
Italy,2018,0.23085685966407066
Japan,1990,0.4521189509805041
Japan,1991,0.43962964062023213
Japan,1992,0.43257064014799673
Japan,1993,0.42637481341691463
Japan,1994,0.42404845425171556
Japan,1995,0.4195544418534876
Japan,1996,0.4139686968787567
Japan,1997,0.4077887799034613
Japan,1998,0.40147717783363296
Japan,1999,0.3972448224924889
Japan,2000,0.39197579932182347
Japan,2001,0.3864038285464266
Japan,2002,0.3818211241021049
Japan,2003,0.3772842211520316
Japan,2004,0.37190510435196533
Japan,2005,0.36618587053849305
Japan,2006,0.3596684648060926
Japan,2007,0.3535835727196365
Japan,2008,0.34707699447317303
Japan,2009,0.3415902235805723
Japan,2010,0.33643752624219936
Japan,2011,0.3322123271560481
Japan,2012,0.3282527946063747
Japan,2013,0.324003628909653
Japan,2014,0.31969891237794346
Japan,2015,0.3149593825980631
Japan,2016,0.31077889727234115
Japan,2017,0.30647330983032833
Japan,2018,0.30193911307017696
"Korea, Rep.",1990,0.6960946705138011
"Korea, Rep.",1991,0.681238344241685
"Korea, Rep.",1992,0.6752831041071811
"Korea, Rep.",1993,0.6738383303227008
"Korea, Rep.",1994,0.6679347217827131
"Korea, Rep.",1995,0.6601413223027868
"Korea, Rep.",1996,0.6508949023089026
"Korea, Rep.",1997,0.6415623334670584
"Korea, Rep.",1998,0.6255897048126222
"Korea, Rep.",1999,0.6099965055891793
"Korea, Rep.",2000,0.5984795636332367
"Korea, Rep.",2001,0.5867390715306251
"Korea, Rep.",2002,0.5707998466964442
"Korea, Rep.",2003,0.5563134555872562
"Korea, Rep.",2004,0.5422847632792213
"Korea, Rep.",2005,0.5273972342632841
"Korea, Rep.",2006,0.5123445971569589
"Korea, Rep.",2007,0.4971425568197353
"Korea, Rep.",2008,0.4836946083520323
"Korea, Rep.",2009,0.47353039787070306
"Korea, Rep.",2010,0.46462630536706895
"Korea, Rep.",2011,0.45703675662719834
"Korea, Rep.",2012,0.44943358132693584
"Korea, Rep.",2013,0.4420612570778284
"Korea, Rep.",2014,0.4341222556964211
"Korea, Rep.",2015,0.42578542290523935
"Korea, Rep.",2016,0.4174996230529155
"Korea, Rep.",2017,0.40961236467436357
"Korea, Rep.",2018,0.40181167509541804
Mexico,1990,0.3945964424265624
Mexico,1991,0.3926561962899072
Mexico,1992,0.38545091417070515
Mexico,1993,0.38835677501242416
Mexico,1994,0.39111271009067555
Mexico,1995,0.39164446904039013
Mexico,1996,0.39071171895725226
Mexico,1997,0.3891590904364614
Mexico,1998,0.388174676209376
Mexico,1999,0.3839653120026968
Mexico,2000,0.38006427458872
Mexico,2001,0.3761149770445297
Mexico,2002,0.37275580091727056
Mexico,2003,0.37009028950211564
Mexico,2004,0.3663096157571515
Mexico,2005,0.3624799914188167
Mexico,2006,0.3572411682529695
Mexico,2007,0.35210602666059865
Mexico,2008,0.3468944495883659
Mexico,2009,0.3420166877557458
Mexico,2010,0.33663453136838634
Mexico,2011,0.33024496125475533
Mexico,2012,0.32353905221633195
Mexico,2013,0.31682491686673314
Mexico,2014,0.30955711261725594
Mexico,2015,0.3031340104510266
Mexico,2016,0.2964324130151356
Mexico,2017,0.28978359614753985
Mexico,2018,0.28327976982164216
Russian Federation,1990,1.8224720569742745
Russian Federation,1991,1.8293940413390855
Russian Federation,1992,1.8710921443738129
Russian Federation,1993,1.880008829735488
Russian Federation,1994,1.8825046238256058
Russian Federation,1995,1.88200698602354
Russian Federation,1996,1.8813902480021396
Russian Federation,1997,1.8606417787933809
Russian Federation,1998,1.8508419124108562
Russian Federation,1999,1.8342261007414253
Russian Federation,2000,1.8008135016084188
Russian Federation,2001,1.761894611623343
Russian Federation,2002,1.716944753171449
Russian Federation,2003,1.661223820952402
Russian Federation,2004,1.6019240160684307
Russian Federation,2005,1.5324996569082594
Russian Federation,2006,1.4452030958973454
Russian Federation,2007,1.359857949629512
Russian Federation,2008,1.265906133085293
Russian Federation,2009,1.1921798214789452
Russian Federation,2010,1.1290237140855437
Russian Federation,2011,1.0686822116921213
Russian Federation,2012,1.01309640400536
Russian Federation,2013,0.959814637889359
Russian Federation,2014,0.9146773968554761
Russian Federation,2015,0.8798988683349587
Russian Federation,2016,0.8491571959859505
Russian Federation,2017,0.8188574638414678
Russian Federation,2018,0.7879240032751765
Saudi Arabia,1990,0.3194248888870451
Saudi Arabia,1991,0.30958228227325835
Saudi Arabia,1992,0.30703836769123044
Saudi Arabia,1993,0.3078463551743216
Saudi Arabia,1994,0.31054486153630867
Saudi Arabia,1995,0.3119363237326783
Saudi Arabia,1996,0.3132957896243972
Saudi Arabia,1997,0.30945800113454325
Saudi Arabia,1998,0.3075751583180121
Saudi Arabia,1999,0.30754547500807555
Saudi Arabia,2000,0.3063609928500962
Saudi Arabia,2001,0.305622945766779
Saudi Arabia,2002,0.3073222645723524
